A10VQA1XJOOKBS, 82460, true, Female, 26, White, , Not Hispanic, English, English, No, A2TLN8489YGY81, 5, None, A23KH0CK7RRUGX, 1, None, A222R4PNCF08OF, 2, None, AIQ1I6ODSIO56, 3, None, AXMPSUNKUBEIL, 4, None
A11YS0T8MV3Q7C, 146380, true, Male, 29, White, , Not Hispanic, English, English, No, A1W0RR1MDYW3NQ, 2, None, A23EGLIF8IEH11, 5, None, A2NZ7RMSBXESNI, 1, None, A27543PSHZQKUV, 4, None, AD0NVUGLDYDYN, 3, None
A12FTSX85NQ8N9, 125581, true, Male, 28, White, , Not Hispanic, English, English, No, A12ASB8854TT4, 5, None, A2NO3OTBZYY43Z, 2, None, A2ATBS6XTIZE89, 1, None, AVPW7AXI9AFSM, 3, None, A2R0YYUAWNT7UD, 4, None
A12OYJM6XQ55OP, 68226, false, Male, 28, White, , Hispanic, English, english, Yes, A2FOUSWQDYHIE0, None, 2, A1CY7IOJ9YH136, None, 1, AJRY9ALX8069Y, None, 3, A2OO4PG3LBLP5I, None, 4, A3KVKK1XLBTSN3, None, 5
A12SEG1TXDWQZG, 320571, false, Male, 33, White, , Not Hispanic, English, ENGLISH, No, A1MLAXF28U2EYB, 5, None, A30Y3H3UJ9QKWV, 1, None, A2RNCA7PK35LHT, 4, None, A2C73Y1COWCA51, 2, None, A1YFVXP4A1CXSF, 3, None
A14JGPC4XBATWG, 333962, false, Female, 48, White, , Not Hispanic, English, ENGLISH, No, A1LEKO0AKAJGD0, None, 4, A2QBFXY9UQMJTT, None, 5, A2RNCA7PK35LHT, None, 3, AVPW7AXI9AFSM, None, 1, A21UA6O7ZFAIQJ, None, 2
A171RZ3O028XF6, 128025, true, Female, 23, Black, , Not Hispanic, English, English, No, A1LEKO0AKAJGD0, None, 1, A3UD3KTZ9BC406, None, 4, AD0NVUGLDYDYN, None, 3, A3JVAEYFE3XGQM, None, 5, A27543PSHZQKUV, None, 2
A17D6BK59S31BM, 52291, false, Male, 30, White, , Not Hispanic, English, English, Yes, A2ZXEIWT5I1E16, 4, None, A1CY7IOJ9YH136, 3, None, A2RNCA7PK35LHT, 1, None, AA3240MSZNQIZ, 5, None, A3LVO816U4WEEG, 2, None
A17DVK96EJZI1N, 159471, true, Male, 26, White, , Not Hispanic, English, English, No, A21UA6O7ZFAIQJ, 5, None, AIQ1I6ODSIO56, 1, None, A2OVWCQ4B9AHFY, 3, None, A1W0RR1MDYW3NQ, 4, None, A1B5SSGMTAQ9B5, 2, None
A17K1CHOI773VZ, 158563, true, Male, 31, White, , Not Hispanic, English, English, Yes, A1H0PW1XZMA42P, 2, None, A2RNCA7PK35LHT, 3, None, AIQ1I6ODSIO56, 5, None, AYDB9H4888F3T, 1, None, A1MLAXF28U2EYB, 4, None
A1815TOQ1PZ7JH, 199816, true, Female, 29, White, , Not Hispanic, English, English, No, A1YFVXP4A1CXSF, 4, None, A22ZZCICZDCSTY, 1, None, A2QD7QFGCUNF5N, 5, None, A30KYQGABO7JER, 2, None, A2C73Y1COWCA51, 3, None
A18BDKIZXVBBJD, 142690, true, Male, 32, Black, , Not Hispanic, English, English, Yes, A2RBBL8G1QMVX9, 5, None, A1HXEXQTZCJ1DW, 1, None, A2Y6K5DW6G7H0T, 4, None, A1W0RR1MDYW3NQ, 2, None, A1ZT30BGR3266K, 3, None
A1BWYUUIZXIEB9, 196581, true, Female, 33, White, , Not Hispanic, English, english, No, A2KPDMEBJQUSR9, None, 3, A12ASB8854TT4, None, 2, A1H0PW1XZMA42P, None, 4, A2TLN8489YGY81, None, 1, A2R0YYUAWNT7UD, None, 5
A1C94R63J0E40W, 241856, false, Male, 48, White, , Hispanic, English, english, Yes, A222R4PNCF08OF, 5, None, A2VOX49K21M6MQ, 1, None, A3UD3KTZ9BC406, 2, None, A1QWB22PR3CG8N, 4, None, AVPW7AXI9AFSM, 3, None
A1C9MVRF0KWAE1, 43640, true, None, 30, White, , Hispanic, English, English, Yes, A2RBBL8G1QMVX9, None, 1, A30KYQGABO7JER, None, 2, A2R0YYUAWNT7UD, None, 5, A171RZ3O028XF6, None, 4, A25CZJEFKXF4UV, None, 3
A1DZMZTXWOM9MR, 328147, true, Male, 39, Black, , Not Hispanic, English, English, No, A2GVON0W6E874S, 5, None, A3292UB6BZWMDB, 4, None, A1QWB22PR3CG8N, 3, None, AVPW7AXI9AFSM, 1, None, A27543PSHZQKUV, 2, None
A1E77HZO63E334, 64193, true, Male, 26, White, , Not Hispanic, English, English, No, A23KH0CK7RRUGX, None, 5, A1M24593XO5Z3C, None, 3, A1CY7IOJ9YH136, None, 4, A2GVON0W6E874S, None, 1, A2TLN8489YGY81, None, 2
A1EEL02IJ8VOTP, 107426, false, Male, 60, White, , Not Hispanic, English, ENGLISH, No, A21UA6O7ZFAIQJ, None, 2, A1YFVXP4A1CXSF, None, 1, A2FOUSWQDYHIE0, None, 3, A328CL0WG845R, None, 4, A12ASB8854TT4, None, 5
A1EITLFAMKA61U, 154564, false, Male, 36, Asian, , Not Hispanic, English, english, No, A2615YW1YERQBO, 4, None, A2RBBL8G1QMVX9, 3, None, A3KVKK1XLBTSN3, 1, None, A270HX8LH9LJ8W, 5, None, A3PZ5UNL6UK8BX, 2, None
A1FCOOO4XRP36A, 77289, true, Female, 32, White, , Not Hispanic, English, english, Yes, AY3W2L53R7EL3, 4, None, A2R0YYUAWNT7UD, 5, None, A2ATBS6XTIZE89, 1, None, A23EGLIF8IEH11, 3, None, A12ASB8854TT4, 2, None
A1GKD3NG1NNHRP, 165030, true, None, 60, White, , Not Hispanic, English, eng, No, A3PZ5UNL6UK8BX, None, 3, A1MLAXF28U2EYB, None, 2, A2NO3OTBZYY43Z, None, 5, A3UD3KTZ9BC406, None, 1, A1H2UHJ78F185L, None, 4
A1IZPL02IS8P40, 132104, true, Female, 59, White, , Hispanic, English, english, Yes, A2QBFXY9UQMJTT, None, 2, A1LEKO0AKAJGD0, None, 1, AYDB9H4888F3T, None, 3, A23KH0CK7RRUGX, None, 4, A1H0PW1XZMA42P, None, 5
A1L1SWCLM0PEIB, 172325, true, None, 32, White, , Hispanic, English, english, No, A30KYQGABO7JER, None, 1, A23EGLIF8IEH11, None, 3, A3PYD7EU2WFST6, None, 5, A22ZZCICZDCSTY, None, 2, A2ATBS6XTIZE89, None, 4
A1LVDFM2BCQND4, 184717, false, Male, 30, White, , Not Hispanic, English, English, No, A1A8MBDIAQT43U, 1, None, A1DZMZTXWOM9MR, 2, None, A2QD7QFGCUNF5N, 3, None, A1H0PW1XZMA42P, 4, None, A2ATBS6XTIZE89, 5, None
A1M24593XO5Z3C, 314578, true, Male, 27, White, , Hispanic, English, english, No, AIQ1I6ODSIO56, 2, None, AVBRJBJONL47I, 5, None, A23KH0CK7RRUGX, 4, None, A1B5SSGMTAQ9B5, 3, None, AY3W2L53R7EL3, 1, None
A1M7G9KKXWH76A, 350724, true, Male, 48, Black, , Not Hispanic, English, English, None, A2FOUSWQDYHIE0, 3, None, A1ZT30BGR3266K, 5, None, A38DXFI1TZA295, 2, None, A22ZZCICZDCSTY, 4, None, A3V06PKJGI7OY, 1, None
A1NG0AADOGVP5Z, 87168, true, Female, 49, White, , Not Hispanic, English, english, Yes, AY3W2L53R7EL3, 3, None, A1MLAXF28U2EYB, 1, None, A2BJGX6XXE49JG, 5, None, A38DXFI1TZA295, 2, None, A2R0YYUAWNT7UD, 4, None
A1NKKZP1IV9VX5, 87645, false, Male, 30, White, , Not Hispanic, English, English, Yes, A1B5SSGMTAQ9B5, None, 3, A2FOUSWQDYHIE0, None, 1, A1ROEDVMTO9Y3X, None, 5, A1B5O1E2T429ET, None, 2, AYDB9H4888F3T, None, 4
A1NZFJHVJ9CNTO, 31230, true, Male, 29, White, , Not Hispanic, English, english, No, A3KVKK1XLBTSN3, None, 3, A3V06PKJGI7OY, None, 4, A2RBBL8G1QMVX9, None, 2, AY3W2L53R7EL3, None, 1, A270HX8LH9LJ8W, None, 5
A1OQDD1Y4TIE3Y, 249367, false, Female, 30, White, , Not Hispanic, English, ENGLISH , Yes, AVPW7AXI9AFSM, None, 2, A3292UB6BZWMDB, None, 1, A1KWRC85I15X6Y, None, 5, A2NZ7RMSBXESNI, None, 3, A2R0YYUAWNT7UD, None, 4
A1P2RQ166VS5BT, 98925, true, Female, 62, White, , Not Hispanic, English, , Yes, A21UA6O7ZFAIQJ, 3, None, A1M24593XO5Z3C, 5, None, A3KVKK1XLBTSN3, 4, None, A2R0YYUAWNT7UD, 1, None, AXMPSUNKUBEIL, 2, None
A1P6OXEJ86HQRM, 133749, true, Male, 38, White, , Not Hispanic, English, English, No, A222R4PNCF08OF, None, 1, A2TLN8489YGY81, None, 2, A3UD3KTZ9BC406, None, 4, A2C73Y1COWCA51, None, 5, A1A8MBDIAQT43U, None, 3
A1PAY3X73PQ16S, 137463, true, Female, 52, White American Indian, , Not Hispanic, English, English, No, A1LEKO0AKAJGD0, None, 4, A1W0RR1MDYW3NQ, None, 3, AYDB9H4888F3T, None, 1, A248LF7KKHXZ14, None, 2, A1YFVXP4A1CXSF, None, 5
A1PF01FF85HUY4, 106168, true, Male, 36, White, , Not Hispanic, English, english, No, A2ZXEIWT5I1E16, None, 2, A248LF7KKHXZ14, None, 1, A3LVO816U4WEEG, None, 5, AJRY9ALX8069Y, None, 4, A270HX8LH9LJ8W, None, 3
A1PQW43P7FYJQT, 121337, true, Female, 25, White, , Not Hispanic, English, english, No, A38DXFI1TZA295, 3, None, AIQ1I6ODSIO56, 2, None, A12ASB8854TT4, 1, None, A270HX8LH9LJ8W, 5, None, A3KVKK1XLBTSN3, 4, None
A1PY2VNXG9TSD8, 199385, true, Male, 38, White, , Not Hispanic, English, english, No, A2GVON0W6E874S, None, 1, AVBRJBJONL47I, None, 4, A2ZXEIWT5I1E16, None, 2, A23KH0CK7RRUGX, None, 3, A1W0RR1MDYW3NQ, None, 5
A1QC1K71RGKZBI, 304990, false, Female, 70, White, , Not Hispanic, English, English, No, A1LEKO0AKAJGD0, None, 5, A2ATBS6XTIZE89, None, 1, A3292UB6BZWMDB, None, 3, A2QD7QFGCUNF5N, None, 2, A3KP8KFGG6734Q, None, 4
A1ROEDVMTO9Y3X, 84750, true, Female, 50, White, , Not Hispanic, English, english, No, A2NZ7RMSBXESNI, 2, None, A3LVO816U4WEEG, 3, None, AJRY9ALX8069Y, 4, None, A2GVON0W6E874S, 1, None, A2NO3OTBZYY43Z, 5, None
A1S9I9H0M4BKMT, 273318, false, Male, 35, Black, , Hispanic, English, english, No, A1DZMZTXWOM9MR, None, 1, A1LEKO0AKAJGD0, None, 2, A2VOX49K21M6MQ, None, 3, A1W0RR1MDYW3NQ, None, 4, A270HX8LH9LJ8W, None, 5
A1SPG1KPFY5FL7, 164636, true, Male, 54, White, , Not Hispanic, English, English, No, A1HXEXQTZCJ1DW, None, 4, A1MLAXF28U2EYB, None, 2, A2NO3OTBZYY43Z, None, 5, A1YFVXP4A1CXSF, None, 3, A2TLN8489YGY81, None, 1
A1VFZK7GD0EUY8, 88564, false, Male, 30, White, , Not Hispanic, English, English, No, A1QWB22PR3CG8N, None, 5, A2KPDMEBJQUSR9, None, 3, AY3W2L53R7EL3, None, 1, A1B5SSGMTAQ9B5, None, 2, A328CL0WG845R, None, 4
A1VGQQPI02FE31, 65294, false, Male, 40, White, , Not Hispanic, English, good, No, A2NO3OTBZYY43Z, None, 1, A3PZ5UNL6UK8BX, None, 2, A2ATBS6XTIZE89, None, 3, A1LEKO0AKAJGD0, None, 4, A2OVWCQ4B9AHFY, None, 5
A1VXYFTB9FT9Q3, 83922, false, Female, 27, White, , Not Hispanic, English, English , Yes, AY3W2L53R7EL3, None, 1, A2KPDMEBJQUSR9, None, 2, A2ZXEIWT5I1E16, None, 4, A1B5O1E2T429ET, None, 3, A2OO4PG3LBLP5I, None, 5
A1W2L6BM7VQCXO, 166637, false, Male, 34, White, , Not Hispanic, English, English, No, A30Y3H3UJ9QKWV, 2, None, A1QWB22PR3CG8N, 3, None, AVPW7AXI9AFSM, 4, None, A12ASB8854TT4, 5, None, A270HX8LH9LJ8W, 1, None
A1W4IZ0AMF3MZC, 97940, true, Female, 30, White, , Not Hispanic, English, ENGLISH, Yes, A1HXEXQTZCJ1DW, None, 4, A1KWRC85I15X6Y, None, 1, A1H0PW1XZMA42P, None, 5, A21UA6O7ZFAIQJ, None, 2, A1ROEDVMTO9Y3X, None, 3
A1W7I6FN183I8F, 189017, true, Male, 30, White, , Not Hispanic, English, English, No, A30KYQGABO7JER, 1, None, A2Y6K5DW6G7H0T, 5, None, A1KWRC85I15X6Y, 3, None, A1CY7IOJ9YH136, 4, None, A1B5SSGMTAQ9B5, 2, None
A1XVEKS9O73ERE, 170933, true, Female, 39, White, , Not Hispanic, English, English, No, A22ZZCICZDCSTY, 3, None, A3UD3KTZ9BC406, 2, None, A2GVON0W6E874S, 1, None, AVPW7AXI9AFSM, 5, None, A3LVO816U4WEEG, 4, None
A1YVLMFG2JELTP, 120711, true, Male, 65, White, , Not Hispanic, None, english, Yes, AY3W2L53R7EL3, None, 5, A38DXFI1TZA295, None, 1, AXMPSUNKUBEIL, None, 4, A12ASB8854TT4, None, 2, A1HXEXQTZCJ1DW, None, 3
A1YZ0ETOCJO1B2, 238247, true, Male, 36, White, , Hispanic, English, English, Yes, A2OO4PG3LBLP5I, 2, None, A2NO3OTBZYY43Z, 1, None, A2Y6K5DW6G7H0T, 5, None, A2TLN8489YGY81, 4, None, A2QBFXY9UQMJTT, 3, None
A1Z74CXNF2IAAW, 374488, true, Male, 30, Black, , Hispanic, English, English, Yes, A3KVKK1XLBTSN3, 5, None, A2SM1GBN4ARGM4, 1, None, A3V92Z4UXBEPOM, 2, None, A1DZMZTXWOM9MR, 4, None, AYDB9H4888F3T, 3, None
A1ZAVCDE37F1CY, 255407, true, Male, 25, White, , Hispanic, English, English, No, A1YFVXP4A1CXSF, None, 4, A3V92Z4UXBEPOM, None, 1, A3KP8KFGG6734Q, None, 5, AIQ1I6ODSIO56, None, 3, A3LVO816U4WEEG, None, 2
A214HI0BN2GXHD, 324597, false, Male, 44, Black, , Hispanic, English, English, No, A3UD3KTZ9BC406, 3, None, A2615YW1YERQBO, 1, None, A3V06PKJGI7OY, 4, None, AVBRJBJONL47I, 2, None, A1A8MBDIAQT43U, 5, None
A21X7WZ7A7ROEH, 37858, false, Male, 35, White, , Not Hispanic, English, 1, Yes, A2SM1GBN4ARGM4, None, 1, A25CZJEFKXF4UV, None, 2, A2TLN8489YGY81, None, 3, A3292UB6BZWMDB, None, 4, A2RNCA7PK35LHT, None, 5
A21X7WZ7A7ROEH, 41910, false, Male, 35, White, , Not Hispanic, English, 1, Yes, A2SM1GBN4ARGM4, None, 1, A25CZJEFKXF4UV, None, 2, A2TLN8489YGY81, None, 3, A3292UB6BZWMDB, None, 4, A2RNCA7PK35LHT, None, 5
A21X7WZ7A7ROEH, 43087, false, Male, 35, White, , Not Hispanic, English, 1, Yes, A2SM1GBN4ARGM4, None, 1, A25CZJEFKXF4UV, None, 2, A2TLN8489YGY81, None, 3, A3292UB6BZWMDB, None, 4, A2RNCA7PK35LHT, None, 5
A21X7WZ7A7ROEH, 44358, false, Male, 35, White, , Not Hispanic, English, 1, Yes, A2SM1GBN4ARGM4, None, 1, A25CZJEFKXF4UV, None, 2, A2TLN8489YGY81, None, 3, A3292UB6BZWMDB, None, 4, A2RNCA7PK35LHT, None, 5
A21X7WZ7A7ROEH, 44966, false, Male, 35, White, , Not Hispanic, English, 1, Yes, A2SM1GBN4ARGM4, None, 1, A25CZJEFKXF4UV, None, 2, A2TLN8489YGY81, None, 3, A3292UB6BZWMDB, None, 4, A2RNCA7PK35LHT, None, 5
A21X7WZ7A7ROEH, 45182, false, Male, 35, White, , Not Hispanic, English, 1, Yes, A2SM1GBN4ARGM4, None, 1, A25CZJEFKXF4UV, None, 2, A2TLN8489YGY81, None, 3, A3292UB6BZWMDB, None, 4, A2RNCA7PK35LHT, None, 5
A21X7WZ7A7ROEH, 45342, false, Male, 35, White, , Not Hispanic, English, 1, Yes, A2SM1GBN4ARGM4, None, 1, A25CZJEFKXF4UV, None, 2, A2TLN8489YGY81, None, 3, A3292UB6BZWMDB, None, 4, A2RNCA7PK35LHT, None, 5
A21X7WZ7A7ROEH, 45518, false, Male, 35, White, , Not Hispanic, English, 1, Yes, A2SM1GBN4ARGM4, None, 1, A25CZJEFKXF4UV, None, 2, A2TLN8489YGY81, None, 3, A3292UB6BZWMDB, None, 4, A2RNCA7PK35LHT, None, 5
A2287HLNN9EZ56, 126065, true, None, 30, White, , Not Hispanic, English, English, No, A2RBBL8G1QMVX9, None, 5, A2615YW1YERQBO, None, 2, A2ATBS6XTIZE89, None, 1, A1LEKO0AKAJGD0, None, 3, A2QD7QFGCUNF5N, None, 4
A22YWC9422V090, 287238, true, Female, 30, Asian, , Not Hispanic, English, english, Yes, A3PZ5UNL6UK8BX, None, 4, A3LVO816U4WEEG, None, 5, A1YFVXP4A1CXSF, None, 1, A2NO3OTBZYY43Z, None, 2, A2VOX49K21M6MQ, None, 3
A272X64FOZFYLB, 124477, true, Male, 26, White, , Not Hispanic, English, English, No, A2FOUSWQDYHIE0, None, 4, A1LEKO0AKAJGD0, None, 5, A2NO3OTBZYY43Z, None, 2, A38DXFI1TZA295, None, 3, A3KP8KFGG6734Q, None, 1
A286W816CMIZL9, 145395, true, Female, 42, White, , Not Hispanic, English, english, No, A3V92Z4UXBEPOM, None, 4, A3292UB6BZWMDB, None, 5, A2RBBL8G1QMVX9, None, 3, A248LF7KKHXZ14, None, 1, A1CY7IOJ9YH136, None, 2
A296NP2MIEJMA4, 139521, false, Male, 51, White, , Not Hispanic, English, English, Yes, AD0NVUGLDYDYN, None, 1, A2FOUSWQDYHIE0, None, 4, AYDB9H4888F3T, None, 5, A2RNCA7PK35LHT, None, 2, A1B5SSGMTAQ9B5, None, 3
A2B227N1NQYS56, 129317, true, Male, 34, White, , Not Hispanic, English, English, No, A30KYQGABO7JER, None, 2, A22ZZCICZDCSTY, None, 3, A21UA6O7ZFAIQJ, None, 5, A1LEKO0AKAJGD0, None, 1, A2ZXEIWT5I1E16, None, 4
A2C73Y1COWCA51, 175792, true, Male, 28, American Indian, , Hispanic, English, english, Yes, A2RBBL8G1QMVX9, 4, None, A3LVO816U4WEEG, 3, None, A1W0RR1MDYW3NQ, 2, None, A1A8MBDIAQT43U, 5, None, AYDB9H4888F3T, 1, None
A2EKR2ZFO10VMV, 115533, true, Female, 29, White, , Not Hispanic, English, English, No, AIQ1I6ODSIO56, None, 1, A3V92Z4UXBEPOM, None, 4, A222R4PNCF08OF, None, 5, AD0NVUGLDYDYN, None, 2, A2Y6K5DW6G7H0T, None, 3
A2HSCKH5NKN5LP, 56618, true, Male, 33, White, , Not Hispanic, English, English, No, A2GVON0W6E874S, 1, None, A1LEKO0AKAJGD0, 2, None, A38DXFI1TZA295, 3, None, A1M24593XO5Z3C, 4, None, A30Y3H3UJ9QKWV, 5, None
A2HVYHMQH9DTWH, 156672, false, Male, 35, White, , Not Hispanic, English, english, Yes, A3V92Z4UXBEPOM, None, 2, A3V06PKJGI7OY, None, 3, A22ZZCICZDCSTY, None, 1, A1W0RR1MDYW3NQ, None, 4, A1QWB22PR3CG8N, None, 5
